iter	RMSE
0	0.3975887215
1	0.3963220522
2	0.3949675334
3	0.3937634415
4	0.3926165074
5	0.3914130106
6	0.3901665963
7	0.3890674711
8	0.38780936
9	0.3866486149
10	0.3854303883
11	0.3842954295
12	0.3830086823
13	0.3818292154
14	0.3806016862
15	0.3794190768
16	0.3782189435
17	0.3769927864
18	0.3757739929
19	0.3746522594
20	0.3735013175
21	0.3723419186
22	0.3711469258
23	0.3701186267
24	0.3689260394
25	0.3677727929
26	0.3665999448
27	0.3655091109
28	0.3645059262
29	0.363393556
30	0.362338255
31	0.3612720188
32	0.3602264171
33	0.3591704159
34	0.3580533288
35	0.3570725226
36	0.3559864723
37	0.3549184111
38	0.3538861266
39	0.3527589516
40	0.3516617505
41	0.3506470765
42	0.3496315896
43	0.3486080343
44	0.3475874445
45	0.3465821548
46	0.345602418
47	0.3446355925
48	0.343659751
49	0.3425924144
50	0.3416167583
51	0.3406655807
52	0.33968059
53	0.3386738711
54	0.3377097128
55	0.3367109119
56	0.3358416501
57	0.3348581668
58	0.3338303955
59	0.3329485711
60	0.3319676284
61	0.3309770095
62	0.3300717729
63	0.3291008693
64	0.3281641889
65	0.327281885
66	0.3264285154
67	0.3255356511
68	0.3245716985
69	0.3236420613
70	0.3227261863
71	0.3218515847
72	0.3210106199
73	0.3202019908
74	0.3192946759
75	0.318439371
76	0.3176055754
77	0.3167860903
78	0.3159637695
79	0.3150768343
80	0.3142593284
81	0.313339477
82	0.3124559671
83	0.3115832304
84	0.3108091587
85	0.3100000765
86	0.3091579768
87	0.3083179665
88	0.3075139496
89	0.3066961121
90	0.3058470707
91	0.3050222432
92	0.3042362513
93	0.3034824364
94	0.3027361526
95	0.3019023719
96	0.3010820105
97	0.3003128525
98	0.2995543913
99	0.2986765751
100	0.2978680513
101	0.2971374678
102	0.2963600233
103	0.2955482538
104	0.2948452359
105	0.2941579571
106	0.2933884986
107	0.2926637233
108	0.2918617911
109	0.2910963101
110	0.2903000517
111	0.2895680045
112	0.2888314917
113	0.2880868228
114	0.2873183393
115	0.2866004655
116	0.2859261657
117	0.2851865769
118	0.2844770361
119	0.2837785374
120	0.2830548569
121	0.2823513075
122	0.2816252915
123	0.2809960351
124	0.2803132027
125	0.2795912505
126	0.2788652983
127	0.2782637886
128	0.2775469394
129	0.2768152162
130	0.2761184412
131	0.2754475829
132	0.274769828
133	0.2741392533
134	0.2735499781
135	0.2728223712
136	0.2722375625
137	0.2715446048
138	0.2708674192
139	0.2701999082
140	0.2695556482
141	0.269011811
142	0.2683565332
143	0.2676982111
144	0.2669996153
145	0.2663739494
146	0.2657628378
147	0.2651010183
148	0.2645322056
149	0.2639386672
150	0.263361279
151	0.2627014445
152	0.2621204634
153	0.2615082428
154	0.260894404
155	0.2602714691
156	0.2595986324
157	0.2590155701
158	0.2584316505
159	0.2578489574
160	0.2572583571
161	0.2566463323
162	0.2560874017
163	0.2554538714
164	0.2548698141
165	0.2542990313
166	0.2537075832
167	0.2531067463
168	0.2525641449
169	0.2519810805
170	0.2514441992
171	0.2508299954
172	0.250236811
173	0.249685969
174	0.2491005395
175	0.2485202446
176	0.2479628368
177	0.247394528
178	0.2468414979
179	0.2462635814
180	0.2457632228
181	0.2452456374
182	0.244665161
183	0.2441763659
184	0.2436079852
185	0.2430623094
186	0.2425566663
187	0.2420335544
188	0.2415084078
189	0.2410294597
190	0.240556276
191	0.2400505231
192	0.2395367452
193	0.2390739677
194	0.2385998296
195	0.2380513703
196	0.237556535
197	0.2370179914
198	0.2365208041
199	0.2359798789
200	0.2354594472
201	0.2349175557
202	0.2344245537
203	0.2339384466
204	0.2335217909
205	0.2330533686
206	0.232536896
207	0.2319898194
208	0.231490866
209	0.2310284139
210	0.2305487211
211	0.2300984684
212	0.2296577975
213	0.2292047092
214	0.2287314567
215	0.2283104945
216	0.2277908555
217	0.2273507344
218	0.2269316818
219	0.2264613997
220	0.2260289678
221	0.2255866099
222	0.225104671
223	0.2246590039
224	0.2242299247
225	0.2238371029
226	0.2234281565
227	0.2229570199
228	0.2225413553
229	0.2221109897
230	0.2217172557
231	0.2212924972
232	0.2208926566
233	0.2204846095
234	0.2200529107
235	0.2196559253
236	0.2192215375
237	0.2187720866
238	0.2183778865
239	0.2179664344
240	0.2175888437
241	0.2171560231
242	0.216792809
243	0.2163710817
244	0.2159086791
245	0.2154984957
246	0.2151058528
247	0.2146891148
248	0.2142895351
249	0.2139061391
250	0.2135371254
251	0.2131196169
252	0.2127126248
253	0.212339116
254	0.211977012
255	0.211587708
256	0.2112036661
257	0.2108309905
258	0.2105142806
259	0.2101430348
260	0.2097668499
261	0.2093576963
262	0.2089735968
263	0.2086111851
264	0.2082516087
265	0.2078710365
266	0.2074825353
267	0.2071130583
