iter	Passed	Remaining
0	11	68262
1	29	87620
2	34	69314
3	45	68184
4	50	60078
5	55	55769
6	60	51767
7	64	48143
8	68	45564
9	73	44321
10	77	42438
11	82	40920
12	87	40160
13	91	39313
14	95	38231
15	99	37192
16	104	36801
17	109	36251
18	113	35884
19	120	36065
20	125	35712
21	130	35421
22	137	35738
23	143	35679
24	148	35456
25	154	35606
26	159	35176
27	163	34800
28	169	34986
29	174	34626
30	178	34366
31	184	34373
32	189	34320
33	195	34224
34	203	34627
35	207	34409
36	212	34190
37	219	34398
38	223	34201
39	228	33988
40	234	34081
41	239	33950
42	243	33696
43	248	33699
44	253	33494
45	257	33269
46	261	33119
47	266	33104
48	271	32921
49	275	32749
50	282	32991
51	288	32952
52	293	32914
53	298	32922
54	303	32836
55	308	32733
56	314	32798
57	319	32727
58	324	32660
59	330	32763
60	335	32626
61	339	32493
62	344	32434
63	348	32282
64	351	32108
65	355	31963
66	360	31890
67	363	31739
68	384	33009
69	388	32890
70	394	32908
71	398	32780
72	402	32677
73	406	32579
74	411	32520
75	416	32460
76	421	32389
77	426	32374
78	430	32289
79	434	32180
80	439	32103
81	443	32005
82	447	31876
83	450	31721
84	454	31594
85	458	31531
86	462	31408
87	465	31275
88	469	31156
89	474	31133
90	477	31032
91	480	30885
92	484	30772
93	488	30704
94	493	30651
95	496	30512
96	499	30393
97	502	30280
98	508	30293
99	511	30170
100	514	30044
101	517	29921
102	522	29905
103	526	29828
104	529	29721
105	532	29604
106	536	29528
107	540	29480
108	543	29372
109	546	29275
110	550	29181
111	554	29150
112	557	29069
113	561	28966
114	564	28876
115	567	28797
116	572	28770
117	575	28663
118	577	28561
119	580	28467
120	584	28391
121	588	28339
122	591	28250
123	594	28157
124	597	28069
125	601	28022
126	604	27947
127	607	27858
128	610	27770
129	613	27688
130	617	27646
131	620	27573
132	623	27488
133	626	27415
134	629	27331
135	632	27269
136	635	27209
137	638	27129
138	641	27055
139	644	26976
140	648	26930
141	651	26884
142	654	26807
143	657	26732
144	660	26663
145	663	26621
146	667	26577
147	670	26531
148	674	26467
149	677	26406
150	680	26353
151	683	26314
152	687	26256
153	690	26201
154	694	26175
155	698	26171
156	702	26138
157	705	26090
158	709	26055
159	712	26019
160	716	25985
161	719	25924
162	722	25864
163	725	25801
164	728	25752
165	732	25736
166	735	25690
167	738	25631
168	741	25573
169	744	25526
170	747	25496
171	751	25460
172	754	25426
173	757	25371
174	761	25349
175	764	25303
176	767	25249
177	770	25195
178	773	25143
179	776	25100
180	780	25088
181	783	25051
182	786	25001
183	789	24952
184	793	24929
185	796	24890
186	799	24842
187	802	24794
188	805	24751
189	808	24711
190	811	24685
191	814	24642
192	817	24594
193	820	24551
194	823	24509
195	827	24497
196	830	24456
197	833	24415
198	836	24375
199	838	24330
200	843	24322
201	845	24280
202	848	24242
203	851	24203
204	854	24164
205	858	24143
206	861	24106
207	864	24065
208	867	24027
209	870	23991
210	873	23974
211	877	23945
212	879	23907
213	882	23866
214	885	23833
215	889	23807
216	892	23786
217	895	23754
218	898	23717
219	901	23679
220	904	23646
221	908	23635
222	911	23602
223	913	23567
224	916	23534
225	919	23499
226	923	23492
227	926	23458
228	929	23424
229	932	23396
230	935	23365
231	940	23372
232	943	23349
233	946	23322
234	949	23290
235	952	23257
236	956	23261
237	959	23230
238	962	23203
239	965	23175
240	968	23146
241	972	23140
242	975	23107
243	978	23087
244	981	23056
245	984	23028
246	988	23034
247	992	23013
248	995	22995
249	998	22976
250	1003	22981
251	1006	22963
252	1010	22946
253	1013	22929
254	1018	22937
255	1021	22928
256	1025	22911
257	1028	22886
258	1031	22866
259	1035	22871
260	1039	22857
261	1042	22840
262	1046	22832
263	1050	22814
264	1053	22802
265	1056	22779
266	1059	22751
267	1062	22730
268	1065	22710
269	1069	22700
270	1072	22676
271	1075	22648
272	1078	22619
273	1081	22597
274	1085	22594
275	1088	22569
276	1091	22541
277	1093	22514
278	1096	22490
279	1100	22486
280	1103	22462
281	1106	22438
282	1109	22416
283	1112	22394
284	1116	22388
285	1119	22366
286	1122	22342
287	1125	22318
288	1128	22298
289	1132	22295
290	1135	22274
291	1138	22250
292	1141	22228
293	1144	22206
294	1147	22195
295	1150	22176
296	1153	22152
297	1156	22127
298	1159	22105
299	1162	22087
300	1165	22075
301	1168	22052
302	1171	22029
303	1174	22008
304	1177	21985
305	1181	21980
306	1184	21962
307	1187	21938
308	1190	21918
309	1192	21894
310	1196	21886
311	1199	21866
312	1202	21849
313	1205	21827
314	1208	21805
315	1211	21793
316	1214	21781
317	1218	21770
318	1221	21759
319	1224	21743
320	1228	21737
321	1232	21726
322	1235	21706
323	1237	21685
